TransactionAmount,TransactionType,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Cluster
568.07,Debit,ATM,48.0,Doctor,115.0,1.0,10556.81,1
9.61,Credit,Online,58.0,Doctor,179.0,1.0,12883.91,1
392.96,Debit,Online,24.0,Student,100.00000000000001,1.0,791.65,0
716.93,Credit,Online,60.0,Retired,34.0,1.0,4064.02,1
223.85,Debit,ATM,53.0,Engineer,55.0,4.0,2929.91,1
230.66,Debit,Branch,21.0,Student,135.0,1.0,618.05,0
442.12,Debit,Online,19.0,Student,260.0,1.0,1375.8,0
644.17,Debit,ATM,29.0,Engineer,72.0,1.0,1143.52,0
508.67999999999995,Credit,Branch,51.0,Engineer,127.0,1.0,7708.41,1
858.63,Credit,Branch,27.0,Student,185.0,1.0,1872.96,0
25.36,Debit,ATM,57.0,Engineer,78.0,1.0,201.04,1
147.62,Debit,Branch,71.0,Retired,133.0,1.0,2115.8,1
115.02,Debit,Branch,37.0,Doctor,175.0,1.0,7643.66,1
383.37,Debit,Branch,30.0,Engineer,24.0,1.0,8901.93,0
98.54,Credit,Online,20.0,Student,167.0,1.0,9383.43,0
83.24,Credit,Branch,55.0,Doctor,164.0,1.0,1181.31,1
196.16,Debit,Branch,27.0,Engineer,146.0,1.0,9418.86,0
129.94,Debit,ATM,32.0,Engineer,235.0,1.0,7954.919999999999,0
306.9,Debit,Online,46.0,Engineer,51.00000000000001,1.0,9418.08,1
114.98,Debit,Online,59.0,Retired,80.0,1.0,6144.68,1
756.59,Debit,Branch,27.0,Student,17.0,1.0,420.65,0
503.76000000000005,Debit,Online,22.0,Student,35.0,1.0,447.82,0
143.03,Debit,ATM,63.0,Retired,147.0,1.0,7981.450000000001,1
1045.22,Debit,ATM,53.0,Retired,73.0,1.0,1829.9,1
245.54,Debit,ATM,25.0,Student,180.0,1.0,985.0600000000001,0
254.37000000000003,Credit,Online,51.0,Engineer,174.0,1.0,8849.26,1
213.76,Credit,ATM,78.0,Retired,282.0,1.0,3528.72,1
327.86,Debit,Online,40.0,Engineer,104.0,1.0,480.16,0
2.5,Debit,Online,47.0,Doctor,107.0,1.0,12145.27,1
300.08,Credit,Online,68.0,Doctor,47.0,1.0,13546.75,1
56.98,Credit,ATM,43.0,Engineer,122.0,2.0,5688.37,1
407.65,Debit,Online,26.0,Engineer,61.99999999999999,1.0,8346.64,0
115.83,Debit,Branch,39.0,Engineer,167.0,1.0,6481.04,1
53.57,Debit,ATM,69.0,Retired,121.0,1.0,1651.33,1
63.34,Credit,Online,46.0,Doctor,165.0,1.0,11174.94,1
317.87,Debit,Online,27.0,Student,91.0,1.0,145.5,0
331.65,Debit,Online,41.0,Engineer,61.00000000000001,1.0,4172.57,0
5.04,Debit,ATM,56.0,Retired,41.0,1.0,5558.36,1
214.54,Credit,Online,70.0,Doctor,247.0,1.0,11151.53,1
598.81,Debit,Branch,57.0,Doctor,158.0,1.0,1415.52,1
841.28,Debit,Online,26.0,Student,80.0,1.0,1103.64,0
38.15,Debit,Online,26.0,Student,107.99999999999999,1.0,303.68,0
1036.66,Debit,Branch,58.0,Doctor,144.0,1.0,5541.57,1
124.72,Debit,Branch,33.0,Engineer,105.0,1.0,6309.8,0
302.45,Credit,Branch,78.0,Retired,40.0,1.0,5133.61,1
208.04,Debit,Online,47.0,Engineer,273.0,1.0,9344.98,1
5.77,Credit,Branch,23.0,Student,254.0,1.0,1117.97,0
381.33,Debit,ATM,56.0,Doctor,75.0,1.0,11835.35,1
16.16,Debit,ATM,50.0,Doctor,123.99999999999999,1.0,14401.17,1
486.0799999999999,Debit,Online,18.0,Student,68.00000000000001,1.0,1748.69,0
336.39,Debit,Branch,21.0,Student,18.0,1.0,1000.46,0
997.4299999999998,Debit,Online,69.0,Doctor,118.0,1.0,6810.05,1
234.57,Debit,Online,23.0,Student,120.0,1.0,263.98,0
6.0,Debit,Online,30.0,Doctor,246.0,1.0,5442.76,0
1049.92,Debit,ATM,80.0,Retired,21.000000000000004,1.0,2037.85,1
227.14,Debit,ATM,18.0,Student,294.0,1.0,341.94,0
233.74,Credit,Online,66.0,Retired,17.0,1.0,1066.59,1
113.02,Credit,Branch,69.0,Retired,166.0,1.0,6077.96,1
45.85,Debit,ATM,20.0,Student,91.99999999999999,1.0,1659.15,0
973.3899999999999,Debit,Branch,77.0,Retired,296.0,1.0,2042.22,1
514.95,Debit,Online,41.0,Doctor,142.0,5.0,421.93,0
415.5,Debit,ATM,66.0,Doctor,141.0,1.0,10113.66,1
265.76,Debit,Online,54.0,Retired,91.99999999999999,1.0,4446.17,1
69.4,Debit,Online,80.0,Retired,113.0,1.0,6452.77,1
332.93,Credit,Branch,35.0,Engineer,293.0,1.0,2788.2,0
267.9,Debit,Online,20.0,Student,160.0,1.0,596.1599999999999,0
496.0299999999999,Debit,Branch,61.0,Doctor,265.0,1.0,12904.66,1
376.26,Debit,ATM,37.0,Engineer,245.0,1.0,9062.4,1
83.02,Credit,Online,36.0,Engineer,171.0,1.0,9009.56,1
93.26,Credit,Online,20.0,Student,72.0,1.0,1152.2,0
803.37,Credit,Branch,68.0,Doctor,129.0,1.0,12168.37,1
35.76,Debit,Branch,23.0,Student,122.0,1.0,611.8599999999999,0
28.53,Debit,Online,62.0,Doctor,99.0,1.0,8670.53,1
139.53,Credit,Online,53.0,Doctor,177.0,1.0,10098.86,1
307.57,Debit,Branch,33.0,Doctor,285.0,1.0,5307.74,0
60.650000000000006,Credit,Branch,56.0,Retired,53.00000000000001,1.0,1047.28,1
74.86,Debit,Branch,70.0,Doctor,125.0,1.0,6921.48,1
117.97,Debit,Branch,51.0,Retired,137.0,1.0,1475.46,1
231.91,Debit,ATM,34.0,Engineer,165.0,1.0,112.76,0
126.20999999999998,Debit,Branch,75.0,Retired,268.0,1.0,5669.66,1
506.28,Credit,Online,53.0,Retired,162.0,2.0,1309.95,1
304.35,Debit,Branch,31.0,Engineer,36.0,1.0,4057.1,0
281.85,Debit,ATM,22.0,Student,109.0,1.0,1585.98,0
777.88,Debit,Branch,31.0,Engineer,17.0,1.0,6825.55,0
119.18,Debit,Branch,56.0,Retired,96.0,1.0,5516.5,1
177.19,Debit,Online,76.0,Retired,43.0,1.0,5343.3,1
260.88,Debit,Branch,22.0,Student,36.0,1.0,903.05,0
169.47,Debit,Online,24.0,Student,18.999999999999996,1.0,1806.16,0
73.23,Debit,Branch,26.0,Student,14.0,1.0,787.7399999999999,0
1362.55,Debit,ATM,29.0,Engineer,106.0,1.0,2429.68,0
792.57,Debit,ATM,19.0,Student,164.0,1.0,770.37,0
237.06,Debit,Online,71.0,Retired,45.99999999999999,1.0,1182.77,1
34.17,Credit,Online,54.0,Engineer,53.99999999999999,1.0,726.55,1
740.25,Debit,Online,41.0,Doctor,123.0,1.0,14464.3,1
453.54,Debit,ATM,58.0,Doctor,82.0,1.0,12046.3,1
300.47,Debit,Branch,73.0,Retired,100.00000000000001,1.0,7885.64,1
110.93,Credit,Branch,19.0,Student,201.0,1.0,1952.3499999999997,0
201.69,Debit,ATM,59.0,Doctor,299.0,1.0,7328.52,1
399.21,Debit,ATM,59.0,Engineer,109.0,1.0,3210.39,1
1041.88,Debit,Online,78.0,Retired,57.0,1.0,5726.2,1
630.36,Debit,ATM,62.0,Retired,52.00000000000001,1.0,1363.65,1
10.94,Credit,ATM,60.0,Engineer,245.0,1.0,1241.99,1
215.9,Debit,ATM,38.0,Doctor,235.0,1.0,7873.280000000001,1
1422.55,Debit,Branch,79.0,Retired,165.0,1.0,5674.32,1
226.37,Credit,Branch,49.0,Doctor,141.0,1.0,9840.04,1
444.89,Credit,Branch,43.0,Doctor,101.0,1.0,10328.23,1
280.57,Credit,Online,25.0,Student,24.0,1.0,293.24,0
488.54,Debit,Branch,52.0,Engineer,132.0,1.0,7486.63,1
3.3,Credit,Branch,50.0,Doctor,131.0,1.0,11385.37,1
199.39,Debit,Branch,69.0,Retired,165.0,1.0,7264.79,1
20.36,Debit,Branch,62.0,Retired,75.0,1.0,2762.48,1
113.64,Debit,Online,62.0,Retired,32.0,1.0,6675.03,1
493.11,Debit,Branch,53.0,Retired,236.0,1.0,7432.99,1
307.41,Debit,ATM,19.0,Student,14.0,1.0,1057.0,0
11.18,Debit,Online,43.0,Doctor,161.0,1.0,5956.89,1
313.82,Debit,Branch,59.0,Engineer,151.0,1.0,7261.59,1
51.0,Debit,Branch,64.0,Retired,107.0,1.0,4943.16,1
140.98,Debit,Branch,60.0,Engineer,100.00000000000001,1.0,8127.4800000000005,1
288.04,Debit,ATM,68.0,Retired,63.0,1.0,1748.02,1
800.55,Debit,ATM,31.0,Engineer,107.99999999999999,1.0,9660.22,1
485.54,Debit,ATM,46.0,Engineer,143.0,1.0,6371.51,1
521.15,Debit,ATM,54.0,Doctor,214.0,1.0,9442.47,1
321.79,Credit,ATM,63.0,Retired,61.00000000000001,1.0,5959.2,1
304.93,Debit,ATM,65.0,Doctor,158.0,1.0,13531.22,1
432.08,Debit,ATM,40.0,Doctor,145.0,1.0,11500.62,1
694.2,Debit,ATM,61.0,Retired,72.0,1.0,1389.37,1
116.86,Debit,ATM,55.0,Engineer,171.0,1.0,6706.56,1
386.81,Credit,Online,57.0,Doctor,149.0,1.0,7175.29,1
74.88,Debit,ATM,25.0,Student,202.0,1.0,420.67,0
195.76,Debit,Branch,75.0,Retired,99.0,1.0,7323.53,1
134.7,Debit,ATM,50.0,Doctor,106.0,1.0,8395.85,1
890.24,Credit,Online,33.0,Engineer,161.0,1.0,5140.93,0
361.27,Debit,ATM,63.0,Doctor,180.0,1.0,7945.57,1
131.56,Debit,Branch,44.0,Doctor,42.00000000000001,1.0,5873.54,1
485.51,Credit,Online,76.0,Retired,37.0,1.0,3074.45,1
547.87,Debit,ATM,64.0,Retired,131.0,1.0,6155.76,1
457.3,Debit,Online,28.0,Engineer,15.0,1.0,8318.29,0
506.24,Debit,ATM,58.0,Engineer,64.0,1.0,230.09,1
486.59,Debit,Branch,57.0,Retired,119.0,1.0,2513.56,1
163.68,Debit,Branch,41.0,Doctor,292.0,1.0,10090.05,1
581.65,Debit,ATM,22.0,Student,176.0,1.0,480.19000000000005,0
52.01,Debit,ATM,48.0,Doctor,85.0,1.0,1120.88,0
630.24,Debit,ATM,21.0,Student,61.99999999999999,1.0,370.81,0
523.74,Debit,ATM,43.0,Doctor,159.0,1.0,13498.55,1
705.6,Debit,Branch,40.0,Doctor,123.99999999999999,3.0,14804.7,1
217.5,Credit,Branch,46.0,Engineer,35.0,1.0,3057.4,0
91.48,Debit,ATM,51.0,Doctor,141.0,1.0,14942.779999999999,1
5.25,Debit,ATM,39.0,Doctor,49.0,1.0,14143.32,1
54.03,Credit,ATM,56.0,Retired,161.0,1.0,6736.3,1
736.73,Debit,Branch,48.0,Engineer,10.0,1.0,3313.07,1
368.91,Debit,Branch,54.0,Doctor,14.0,1.0,829.7099999999999,1
33.06,Credit,Online,53.0,Retired,170.0,1.0,1540.87,1
66.5,Credit,Online,32.0,Engineer,144.0,1.0,6820.23,0
177.08,Debit,Online,35.0,Doctor,85.0,1.0,13475.14,1
588.54,Debit,Branch,32.0,Engineer,130.0,1.0,714.4499999999999,0
173.5,Debit,ATM,21.0,Student,282.0,1.0,1306.91,0
78.33,Credit,Online,56.0,Engineer,189.0,1.0,7255.33,1
40.66,Debit,Branch,59.0,Retired,156.0,1.0,1153.84,1
97.22,Credit,Branch,77.0,Retired,55.0,1.0,6647.73,1
34.07,Debit,Branch,22.0,Student,81.0,1.0,8709.77,0
492.06000000000006,Debit,Online,23.0,Student,74.0,1.0,857.9,0
842.01,Credit,Online,53.0,Doctor,185.0,1.0,509.45000000000005,1
73.55,Debit,ATM,51.0,Engineer,158.0,1.0,2812.06,1
760.53,Debit,Online,57.0,Engineer,118.0,1.0,6179.91,1
273.08,Credit,Branch,26.0,Engineer,134.0,1.0,6609.3,0
371.69,Debit,Branch,67.0,Retired,143.0,1.0,3484.32,1
218.96,Debit,ATM,18.0,Student,13.0,1.0,754.21,0
227.39,Debit,Online,18.0,Student,65.0,1.0,751.09,0
237.99,Credit,Branch,39.0,Doctor,86.0,1.0,8510.09,1
186.6,Debit,Online,58.0,Doctor,13.0,1.0,1508.72,1
341.15,Debit,Online,18.0,Student,148.0,1.0,511.36999999999995,0
434.58,Debit,ATM,59.0,Doctor,215.0,1.0,12648.32,1
312.88,Credit,Branch,54.0,Engineer,44.0,1.0,233.21,1
75.15,Debit,ATM,23.0,Student,154.0,1.0,1092.92,0
23.3,Debit,ATM,59.0,Engineer,161.0,1.0,6711.15,1
47.38,Credit,Online,25.0,Student,61.00000000000001,1.0,459.37,0
512.81,Debit,Branch,79.0,Retired,30.0,1.0,6994.34,1
488.15000000000003,Debit,Branch,43.0,Engineer,168.00000000000003,1.0,7071.09,1
12.82,Debit,ATM,44.0,Engineer,156.0,1.0,9045.19,1
66.9,Credit,Online,79.0,Retired,129.0,4.0,5238.71,1
535.91,Debit,Online,43.0,Engineer,22.0,1.0,9642.12,1
270.72,Credit,Online,26.0,Engineer,53.00000000000001,1.0,6263.96,0
97.98,Debit,Branch,72.0,Retired,18.0,1.0,7460.329999999999,1
196.08,Debit,Online,61.0,Retired,98.0,1.0,4233.82,1
251.18000000000004,Debit,ATM,42.0,Engineer,246.0,1.0,8303.9,1
44.52,Debit,Online,28.0,Student,205.0,1.0,314.28,0
178.87,Debit,Online,35.0,Doctor,180.0,1.0,5241.23,0
1176.28,Credit,ATM,54.0,Engineer,174.0,5.0,323.69,1
386.68,Debit,Branch,46.0,Doctor,128.0,1.0,6863.06,1
167.14,Debit,Online,76.0,Retired,20.0,1.0,3877.7299999999996,1
345.22,Debit,Branch,69.0,Retired,253.0,1.0,4046.5800000000004,1
74.85,Debit,ATM,72.0,Retired,117.0,1.0,2409.73,1
671.73,Debit,Branch,58.0,Engineer,53.99999999999999,1.0,5211.88,1
255.03999999999996,Debit,ATM,45.0,Engineer,151.99999999999997,1.0,6217.86,1
45.77,Debit,Online,25.0,Student,109.0,1.0,5978.12,0
329.69,Credit,Online,26.0,Student,66.0,1.0,1671.66,0
362.04,Credit,Branch,58.0,Doctor,198.0,2.0,8421.88,1
11.92,Debit,Branch,53.0,Doctor,52.00000000000001,1.0,14611.9,1
47.42,Debit,ATM,64.0,Doctor,28.0,1.0,8253.52,1
35.99,Debit,Branch,63.0,Retired,129.0,1.0,4489.79,1
151.19,Credit,Branch,37.0,Doctor,96.0,1.0,11903.82,1
242.62,Credit,Online,22.0,Student,234.0,1.0,483.02000000000004,0
48.72,Debit,Branch,21.0,Student,17.0,1.0,816.0799999999999,0
43.46,Debit,ATM,25.0,Student,80.0,1.0,578.06,0
1036.21,Debit,Online,25.0,Student,126.0,1.0,477.3,0
443.79,Debit,ATM,53.0,Retired,87.0,1.0,3133.85,1
365.14,Debit,Online,68.0,Retired,57.0,1.0,5894.09,1
757.41,Debit,ATM,22.0,Student,37.0,1.0,9532.42,0
20.54,Debit,Branch,51.0,Engineer,72.0,1.0,5327.03,1
475.36,Debit,ATM,34.0,Engineer,105.0,1.0,2000.6,0
34.74,Debit,ATM,56.0,Retired,24.0,1.0,6827.57,1
689.54,Debit,Branch,27.0,Student,93.0,1.0,1633.76,0
211.18,Debit,ATM,73.0,Retired,90.0,1.0,4069.1699999999996,1
211.36,Credit,Branch,51.0,Engineer,286.0,1.0,7943.469999999999,1
744.41,Credit,Online,39.0,Engineer,107.0,1.0,8842.47,1
61.43,Debit,Online,24.0,Student,170.0,1.0,1882.77,0
167.44,Debit,Branch,37.0,Doctor,82.0,1.0,12526.71,1
361.46,Debit,Online,21.0,Student,83.0,1.0,4737.84,0
378.85,Debit,Branch,78.0,Retired,126.0,1.0,2300.53,1
241.10999999999999,Debit,Branch,30.0,Doctor,55.0,1.0,12385.05,1
131.93,Credit,Branch,31.0,Engineer,13.0,1.0,4547.06,0
20.28,Debit,Online,36.0,Engineer,213.0,1.0,2047.83,0
415.88,Debit,Branch,70.0,Doctor,170.0,1.0,10008.33,1
49.99,Debit,ATM,62.0,Retired,139.0,1.0,2299.64,1
1221.65,Debit,Online,27.0,Student,153.0,1.0,243.92,0
100.66,Debit,Branch,50.0,Doctor,144.0,1.0,14473.33,1
485.54,Debit,Online,19.0,Student,148.0,1.0,1533.32,0
321.15,Debit,Branch,46.0,Doctor,179.0,1.0,7005.05,1
711.3,Debit,Branch,21.0,Student,51.00000000000001,1.0,955.4,0
12.23,Debit,ATM,42.0,Engineer,139.0,1.0,7844.880000000001,1
350.94,Debit,ATM,20.0,Student,64.0,1.0,221.56,0
301.85,Debit,Online,54.0,Engineer,25.000000000000004,1.0,6586.19,1
29.34,Debit,Online,65.0,Retired,30.0,1.0,3944.82,1
231.71,Debit,Branch,27.0,Student,148.0,1.0,1127.98,0
179.43,Debit,ATM,58.0,Retired,244.0,1.0,2626.63,1
36.71,Debit,Branch,48.0,Doctor,55.0,1.0,6459.38,1
138.12,Credit,Branch,53.0,Doctor,281.0,1.0,1649.69,1
233.24,Debit,ATM,33.0,Engineer,72.0,1.0,6939.23,0
609.14,Debit,ATM,39.0,Engineer,177.0,1.0,9033.87,1
436.64,Debit,Branch,31.0,Doctor,111.0,1.0,14365.18,1
870.43,Debit,Branch,29.0,Doctor,55.0,1.0,10115.18,1
354.4,Debit,ATM,74.0,Retired,128.0,1.0,7358.65,1
22.63,Debit,Online,53.0,Engineer,112.0,1.0,4438.03,1
182.19,Debit,Branch,26.0,Student,53.00000000000001,1.0,1176.1,0
126.81,Debit,Branch,26.0,Engineer,290.0,1.0,5427.98,0
288.17,Debit,Online,37.0,Engineer,50.00000000000001,1.0,3653.11,0
118.77,Debit,Branch,55.0,Engineer,123.0,1.0,2104.82,1
651.82,Debit,ATM,21.0,Student,166.0,1.0,1802.77,0
66.65,Debit,ATM,37.0,Engineer,33.0,1.0,3559.96,0
98.53,Debit,Branch,69.0,Retired,166.0,1.0,3564.8,1
138.95,Debit,Online,71.0,Retired,30.0,1.0,6752.92,1
33.89,Debit,Branch,26.0,Student,177.0,1.0,1444.75,0
23.71,Debit,Branch,58.0,Doctor,164.0,1.0,10788.89,1
1830.0,Debit,Online,55.0,Engineer,238.0,1.0,2235.7,1
26.06,Debit,ATM,65.0,Doctor,283.0,1.0,12893.63,1
17.07,Debit,Branch,27.0,Engineer,44.0,1.0,2798.15,0
703.89,Debit,Online,46.0,Engineer,61.99999999999999,1.0,3583.67,1
1271.9,Debit,ATM,47.0,Engineer,155.0,1.0,2120.8,0
26.55,Debit,ATM,77.0,Retired,228.0,1.0,3085.38,1
147.4,Debit,Branch,42.0,Engineer,259.0,1.0,6797.71,1
202.11,Debit,ATM,27.0,Student,18.0,1.0,746.47,0
308.42,Debit,Branch,75.0,Retired,39.0,1.0,5427.81,1
11.18,Debit,ATM,53.0,Engineer,144.0,1.0,7467.300000000001,1
294.15,Debit,Online,38.0,Engineer,136.0,1.0,6362.16,1
29.58,Debit,Branch,54.0,Engineer,121.0,1.0,8345.26,1
139.45,Debit,Online,27.0,Student,30.999999999999996,1.0,1305.76,0
432.63,Debit,ATM,29.0,Doctor,137.0,1.0,13648.36,1
131.43,Debit,Online,43.0,Doctor,65.0,1.0,1337.5,0
516.72,Debit,ATM,42.0,Engineer,128.0,1.0,2015.6900000000003,0
121.82000000000001,Debit,Online,69.0,Doctor,123.0,3.0,8354.54,1
374.5,Credit,Branch,26.0,Student,178.0,1.0,1671.51,0
166.13,Debit,ATM,68.0,Doctor,227.0,1.0,11822.53,1
626.9,Debit,ATM,23.0,Student,146.0,1.0,587.1099999999999,0
466.85,Debit,Branch,56.0,Retired,165.0,1.0,5422.53,1
788.84,Debit,Online,58.0,Retired,231.0,1.0,1913.73,1
873.65,Credit,Online,37.0,Doctor,59.00000000000001,1.0,12139.83,1
525.28,Debit,ATM,69.0,Retired,134.0,1.0,4693.6,1
110.17,Debit,ATM,30.0,Engineer,137.0,1.0,464.2,0
632.69,Debit,ATM,80.0,Retired,75.99999999999999,1.0,4363.74,1
124.35,Debit,ATM,72.0,Retired,90.0,1.0,3319.76,1
43.85,Debit,ATM,62.0,Retired,122.0,1.0,4356.98,1
283.81,Debit,Branch,28.0,Student,29.000000000000004,1.0,1519.35,0
168.53,Debit,ATM,71.0,Retired,112.0,1.0,5962.58,1
218.59,Credit,Branch,40.0,Engineer,123.0,1.0,6699.23,1
132.84,Debit,ATM,21.0,Student,143.0,1.0,822.73,0
157.37,Credit,Branch,42.0,Doctor,289.0,1.0,13964.31,1
144.77,Debit,Online,20.0,Student,159.0,1.0,867.3199999999999,0
643.22,Debit,ATM,64.0,Doctor,93.0,1.0,1035.86,1
1392.54,Debit,Branch,41.0,Doctor,297.0,1.0,13347.69,1
208.07,Debit,Online,32.0,Doctor,36.0,1.0,8478.9,1
94.3,Debit,Branch,57.0,Doctor,57.0,1.0,11088.95,1
295.5,Debit,ATM,59.0,Retired,36.0,1.0,6280.66,1
30.229999999999997,Debit,ATM,44.0,Doctor,99.0,1.0,481.13,0
112.05,Credit,ATM,26.0,Student,159.0,1.0,1122.88,0
180.24,Debit,Branch,58.0,Engineer,144.0,1.0,8431.23,1
13.71,Credit,Online,38.0,Engineer,148.0,1.0,8342.79,1
96.54,Debit,Branch,58.0,Retired,95.0,1.0,7182.22,1
79.35,Debit,Online,67.0,Retired,70.0,1.0,1692.15,1
101.04,Debit,ATM,27.0,Student,160.0,1.0,1695.57,0
